File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
7Cams_Run_20260429_181483.mat,7,NaN,0.058764,11.403123,48.485486,0.112113,0.00,0.00,4,6.560
7Cams_Run_20260404_091305.mat,7,NaN,4.593778,13.267406,40.518495,0.112381,0.00,0.00,3,6.138
7Cams_Run_20260404_081701.mat,7,NaN,4.237075,19.732797,13.478286,0.113980,0.00,0.00,4,6.476
6Cams_Run_20260331_165180.mat,6,NaN,0.077293,2.482350,93.189598,0.118309,0.00,0.00,3,5.630
6Cams_Run_20260401_083126.mat,6,NaN,4.281374,14.183695,42.105387,0.118766,0.00,0.00,1,5.533
7Cams_Run_20260419_231272.mat,7,NaN,0.015197,21.000113,12.834203,0.119585,0.00,0.00,5,6.486
7Cams_Run_20260429_133691.mat,7,NaN,0.039064,15.163308,38.853572,0.119968,0.00,0.00,4,6.543
7Cams_Run_20260429_161526.mat,7,NaN,0.039064,15.163308,38.853572,0.119968,0.00,0.00,4,6.543
6Cams_Run_20260401_032422.mat,6,NaN,6.183337,18.781019,23.670251,0.120803,0.00,0.00,3,5.569
6Cams_Run_20260414_204957.mat,6,NaN,6.183337,18.781019,23.670251,0.120803,0.00,0.00,3,5.569
6Cams_Run_20260414_223869.mat,6,NaN,6.183337,18.781019,23.670251,0.120803,0.00,0.00,3,5.569
8Cams_Run_20260423_232323.mat,8,NaN,0.016161,22.271708,9.675184,0.122353,0.00,0.00,4,7.649
6Cams_Run_20260331_221155.mat,6,NaN,20.124766,15.512465,39.889661,0.122891,0.00,0.00,1,5.498
7Cams_Run_20260419_062858.mat,7,NaN,0.027383,18.174790,28.943328,0.123764,0.00,0.00,3,6.616
6Cams_Run_20260402_075540.mat,6,NaN,0.027532,13.376013,51.407725,0.125298,0.00,0.00,3,5.465
7Cams_Run_20260429_182208.mat,7,NaN,0.052612,14.624040,47.450305,0.127041,0.00,0.00,3,6.347
7Cams_Run_20260429_152449.mat,7,NaN,0.059820,14.424379,48.909075,0.127700,0.00,0.00,3,6.280
8Cams_Run_20260407_213420.mat,8,NaN,4.642336,22.745804,12.413138,0.127835,0.00,0.00,5,6.936
6Cams_Run_20260331_235520.mat,6,NaN,17.091873,17.365682,37.457771,0.129394,0.00,0.00,3,5.596
7Cams_Run_20260429_173740.mat,7,NaN,0.031852,20.466235,23.910825,0.129503,0.00,0.00,5,6.630
7Cams_Run_20260405_105628.mat,7,NaN,0.024243,22.098641,17.124665,0.129953,0.00,0.00,4,6.793
7Cams_Run_20260403_164374.mat,7,NaN,0.126628,5.506387,93.071120,0.133295,0.00,0.00,5,6.370
6Cams_Run_20260416_163588.mat,6,NaN,0.005768,25.729330,6.129554,0.135612,0.00,0.00,4,5.661
7Cams_Run_20251212_130101.mat,7,NaN,0.050807,18.330709,38.735931,0.135672,0.00,0.00,4,6.449
6Cams_Run_20260401_080613.mat,6,NaN,4.682948,25.388019,9.923978,0.138217,0.00,0.00,3,5.332
6Cams_Run_20260402_084499.mat,6,NaN,0.025779,22.682007,23.268605,0.139852,0.00,0.00,3,5.479
6Cams_Run_20260416_140917.mat,6,NaN,0.025779,22.682007,23.268605,0.139852,0.00,0.00,3,5.479
8Cams_Run_20260407_031953.mat,8,NaN,0.430901,5.630285,99.268292,0.140956,0.00,0.00,4,7.772
8Cams_Run_20260408_071900.mat,8,NaN,0.000284,21.623045,28.960078,0.141024,0.00,0.00,5,6.846
8Cams_Run_20260407_191605.mat,8,NaN,8.242968,19.683717,38.661267,0.142352,0.00,0.00,4,7.183
7Cams_Run_20260405_175738.mat,7,NaN,0.029949,21.201530,32.142704,0.142533,0.00,0.00,4,6.661
7Cams_Run_20260404_034521.mat,7,NaN,11.932908,24.882176,17.173417,0.143926,0.00,0.00,4,6.609
7Cams_Run_20260429_165121.mat,7,NaN,0.037376,21.129414,35.575025,0.146073,0.00,0.00,4,6.417
6Cams_Run_20260401_074284.mat,6,NaN,4.297449,26.823399,12.644915,0.148486,0.00,0.00,4,5.538
6Cams_Run_20260415_130009.mat,6,NaN,4.297449,26.823399,12.644915,0.148486,0.00,0.00,4,5.538
6Cams_Run_20260415_132414.mat,6,NaN,4.297449,26.823399,12.644915,0.148486,0.00,0.00,4,5.538
7Cams_Run_20260429_144472.mat,7,NaN,0.043848,20.504883,41.511844,0.149697,0.00,0.00,3,6.585
7Cams_Run_20260429_174785.mat,7,NaN,0.037515,21.412903,38.948217,0.151324,0.00,0.00,4,6.333
7Cams_Run_20260404_084586.mat,7,NaN,4.989342,20.032924,45.525464,0.151898,0.00,0.00,2,6.029
6Cams_Run_20260415_134924.mat,6,NaN,3.845181,26.276996,22.934059,0.157446,0.00,0.00,4,5.439
